lntanalfabetas,lnsalario,lnGini,lnpuntaje_matematicas,lncobersecundar,lnparticipacion,lntasadesempleo,lnPobreza,lnhurtos,CódigoMunicipio,lnvalpercapita,lnTMI,lnpen1000,lnvel,lnindice_demanda,lnindice_oferta,goblinea,penpvd,penkvd,cod_dane,ciudad,year,poblacion,poblacion_total
,,,,,,,,-.91231292,276,,,5.3821263,8.236269,1.3819658,1.4572177,91.21977654677023,.0078427987,.20652623,68276,floridablanca,2015,264695,
,,,,,,,,-1.0214943,307,,,4.8667173,8.1647816,1.3319323,1.420741,62.66560001534958,.0063770222,.053433076,68307,giron,2015,175528,
,,,,,,,,-.96258485,547,,,5.0062742,8.1218557,1.3501019,1.3665218,75.85518538253685,.016814636,.14867678,68547,piedecuesta,2015,145848,
2.4215615,13.543204,-.73605466,,,,2.1202867,3.487375,-.5928663,001,,,4.5645785,7.8049278,1.2686946,1.3892804,23.85300058710353,.015761621,.34102535,70001,sincelejo,2015,271375,255526
1.9909028,13.680396,-.81644541,,,,2.5373859,2.7972813,-.60187459,001,,,5.0228028,7.9607539,1.2886564,1.5320649,64.72593311900518,.017379316,.42830786,73001,ibague,2015,548209,520285
1.9053304,13.599463,-.71949118,,,,2.5675318,2.9496884,-.63070989,001,,,5.0526776,8.1548977,1.4486099,1.4663931,70.74717650524858,.011264618,0,76001,cali,2015,2344734,2421080
,,,,,,,,-1.8047343,109,,,3.5809689,7.4345727,1.1020439,1.2491398,,.0027938033,1.2016765,76109,buenaventura,2015,392054,
,,,,,,,,-.80709976,111,,,4.9523835,8.1382322,1.5727785,1.4475315,52.0890594799536,.030241325,.36968577,76111,buga,2015,115432,
,,,,,,,,-1.4176564,130,,,4.2033019,7.8504262,1.5576096,1.4183279,,.044714719,.15484937,76130,candelaria,2015,80485,
,,,,,,,,-1.2312915,147,,,4.7994313,8.0562506,1.4848462,1.2971088,57.10635506868404,.01544175,0,76147,cartago,2015,131545,
,,,,,,,,-1.2193197,364,,,4.9022474,7.9953513,1.5422066,1.3742218,48.24979751690574,.025063599,.37513399,76364,jamundi,2015,117117,
,,,,,,,,-1.0279263,520,,,5.034204,8.051116,1.5806226,1.3986261,56.33687638994993,.012357172,.21683653,76520,palmira,2015,302727,
,,,,,,,,-1.0758493,834,,,4.7542505,7.9731898,1.4709892,1.3759891,87.16383226551226,.033248734,.66368592,76834,tulua,2015,209086,
,,,,,,,,-.92442495,892,,,4.5782709,7.8911295,1.5257235,1.4742631,82.91124003820332,.039812878,.28659454,76892,yumbo,2015,114427,
,,,,,,,,-.74782336,001,,,3.8013272,7.2298179,1.1065251,1.1493846,63.83388398905018,.013305834,.82733518,81001,arauca,2015,87242,
,,,,,,,,-.27857003,001,,,4.8498554,8.086236,1.4571615,1.3385715,55.71644348010921,.032993499,.32791185,85001,yopal,2015,136484,
,,,,,,,,-.54708087,001,,,4.1476774,7.1949444,1.1049417,1.2006339,32.31209385026739,0,1.6009852,86001,mocoa,2015,41304,
,,,,,,,,-.79248333,001,,,3.6820085,7.2166886,1.4024934,1.4187481,,.038265061,.38008362,88001,sanandres,2015,70684,
,,,,,,,,-1.2887694,001,,,2.495018,6.5994797,1.0686823,.82793617,47.08832739127975,0,1.0016025,91001,leticia,2015,41000,
,,,,,,,,-1.3483788,001,,,-.033180233,7.1691961,.11332869,.14310084,42.87449413844326,0,.98563784,94001,puertoinirida,2015,19641,
,,,,,,,,-2.2340071,001,,,-.89283311,7.6516433,1.1151416,.91264772,62.56709508870215,0,.90840274,95001,sanjosedelguaviare,2015,63493,
,,,,,,,,-3.5478597,001,,,-.95759261,7.0558467,-.048790161,-.052643731,43.8395945021645,0,1.0958551,97001,mitu,2015,31265,
,,,,,,,,-1.2595581,001,,,.8141855,7.0155687,.23841099,.38837066,62.3705879978355,0,1.9516003,99001,puerto carreÑo,2015,15505,
